Data Point,1_clusters,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters,10_clusters
291,0,1,2,2,2,2,3,7,8,8
292,0,1,2,3,1,1,1,1,1,1
293,0,1,2,2,2,2,3,7,8,8
294,0,1,1,3,3,3,2,2,7,7
295,0,1,2,3,3,3,3,1,8,8
296,0,1,2,2,1,1,1,1,1,1
297,0,0,0,1,4,4,6,3,3,3
298,0,0,0,0,0,0,0,0,0,9
299,0,1,1,3,3,3,4,2,2,2
300,0,0,0,0,0,0,0,0,0,9
301,0,1,1,3,3,3,4,2,2,2
302,0,1,1,3,3,3,4,2,2,2
303,0,1,2,2,2,2,3,7,8,8
304,0,1,2,1,4,4,6,5,5,5
305,0,0,0,0,0,0,0,0,0,9
306,0,0,0,0,0,0,0,0,0,9
307,0,1,1,1,4,4,6,5,5,5
308,0,1,1,3,1,1,1,1,1,1
309,0,1,2,2,2,2,3,7,8,8
310,0,1,2,2,2,2,3,7,8,8
311,0,1,1,3,3,3,4,2,2,2
312,0,0,2,2,2,2,3,7,8,8
313,0,1,2,2,1,1,3,1,8,8
314,0,1,1,3,3,3,4,1,1,1
315,0,1,1,3,3,3,4,2,2,2
316,0,1,2,2,2,2,2,7,7,7
317,0,1,1,3,3,3,2,2,7,7
318,0,0,0,0,0,0,0,3,3,3
319,0,1,1,1,1,1,1,1,1,1
320,0,0,0,0,0,0,0,0,0,3
321,0,1,2,3,1,1,1,4,4,4
322,0,1,1,1,4,4,6,5,5,5
323,0,1,1,3,3,3,4,2,2,0
324,0,0,0,0,0,0,0,0,0,0
325,0,0,2,2,2,2,2,7,7,7
326,0,1,1,3,1,3,4,1,1,1
327,0,1,2,2,2,2,3,7,8,8
328,0,1,1,3,3,3,4,2,2,2
329,0,0,0,2,2,2,2,7,7,7
330,0,1,2,2,2,2,2,7,7,7
331,0,1,2,2,2,2,3,7,8,8
332,0,1,1,1,4,4,6,3,3,5
333,0,1,2,2,2,2,3,7,8,8
334,0,1,1,3,3,3,4,2,2,2
335,0,1,1,3,3,3,4,1,1,1
336,0,1,1,3,3,3,2,2,7,7
337,0,0,0,0,0,0,0,0,0,9
338,0,1,2,2,2,2,3,7,8,8
339,0,1,2,2,1,1,1,4,4,4
340,0,1,1,3,3,3,4,1,1,1
341,0,1,1,3,3,3,4,2,2,0
342,0,1,1,3,1,1,4,1,1,1
343,0,1,2,2,2,2,3,7,8,8
344,0,1,1,1,4,4,6,3,5,5
345,0,1,1,3,1,3,4,1,1,1
346,0,0,0,0,0,0,0,0,0,9
